,title,url,price,vintage,search_name,vivino_score,num_reviews,vivino_name,vivino_link,wine_type
0,Qupe Syrah,https://shop.heinzcatering.berkeleybowl.com/product/85075500069,19.79,,Qupe Syrah,3.7,4205.0,Qupé Syrah Central Coast,https://www.vivino.com/US-NY/en/wines/1596697,popular_wine
1,Dibon Brut Reserve Cava,https://shop.heinzcatering.berkeleybowl.com/product/66794689000,10.99,,Dibon Brut Reserve Cava,3.7,3945.0,Pinord Dibón Brut Reserve Cava,https://www.vivino.com/US-NY/en/wines/1677238,popular_wine
2,La Vieille Ferme Rose,https://shop.heinzcatering.berkeleybowl.com/product/8941900017,8.79,,La Vieille Ferme Rose,3.6,22091.0,La Vieille Ferme Rosé,https://www.vivino.com/US-NY/en/wines/1524031,popular_wine
3,Man Vintners Chenin Blanc,https://shop.heinzcatering.berkeleybowl.com/product/8941915103,10.99,,Man Vintners Chenin Blanc,3.6,5604.0,MAN Chenin Blanc (Free-Run Steen),https://www.vivino.com/US-NY/en/wines/2652732,popular_wine
4,Altano Douro,https://shop.heinzcatering.berkeleybowl.com/product/8941931599,9.89,,Altano Douro,3.7,10999.0,Altano Douro Branco,https://www.vivino.com/US-NY/en/wines/4718239,popular_wine
5,Domaine St. Vincent Sparkling Wine Brut,https://shop.heinzcatering.berkeleybowl.com/product/70125300500,14.29,,Domaine St. Vincent Sparkling Wine Brut,,,Domaine des Grands Egards Le Perlé de St Vincent Brut,https://www.vivino.com/US-NY/en/wines/157634455,popular_wine
6,Angeline Pinot Noir Reserve 2018,https://shop.heinzcatering.berkeleybowl.com/product/72972270025,16.49,,Angeline Pinot Noir Reserve,3.7,5376.0,Angeline Reserve Pinot Noir,https://www.vivino.com/US-NY/en/wines/2152314,popular_wine
7,Pine Ridge Chenin Blanc - Viognier,https://shop.heinzcatering.berkeleybowl.com/product/57900009,14.29,,Pine Ridge Chenin Blanc - Viognier,4.0,23114.0,Pine Ridge Chenin Blanc - Viognier,https://www.vivino.com/US-NY/en/wines/1539994,popular_wine
8,Kermit Lynch Cotes du Rhone,https://shop.heinzcatering.berkeleybowl.com/product/76150363455,14.29,,Kermit Lynch Cotes du Rhone,3.7,6527.0,Terres d'Avignon Kermit Lynch Côtes du Rhône,https://www.vivino.com/US-NY/en/wines/1521733,popular_wine
9,Kermit Lynch Languedoc Rouge,https://shop.heinzcatering.berkeleybowl.com/product/76150363721,13.19,,Kermit Lynch Languedoc Rouge,3.9,74.0,Terres d'Avignon Kermit Lynch Languedoc Cabrières Rouge,https://www.vivino.com/US-NY/en/wines/169527550,popular_wine
10,Tintero Rosato,https://shop.heinzcatering.berkeleybowl.com/product/76150372386,13.19,,Tintero Rosato,4.1,518.0,Tintero Elvio Rosato,https://www.vivino.com/US-NY/en/wines/26773217,popular_wine
11,Tintero Bianco,https://shop.heinzcatering.berkeleybowl.com/product/76150372399,13.19,,Tintero Bianco,4.0,277.0,Tintero Elvio Bianco,https://www.vivino.com/US-NY/en/wines/68650804,popular_wine
12,Pomelo Wine Co. Sauvignon Blanc California,https://shop.heinzcatering.berkeleybowl.com/product/68453000011,12.09,,Pomelo Wine Co. Sauvignon Blanc California,,,Pomelo Wine Co Sauvignon Blanc,https://www.vivino.com/US-NY/en/wines/169487858,popular_wine
13,Chehalem Unoaked Chardonnay,https://shop.heinzcatering.berkeleybowl.com/product/64065600009,17.59,,Chehalem Unoaked Chardonnay,3.8,1233.0,Chehalem Inox Unoaked Chardonnay,https://www.vivino.com/US-NY/en/wines/2724620,popular_wine
14,Broadbent Vinho Verde,https://shop.heinzcatering.berkeleybowl.com/product/61148206033,9.89,,Broadbent Vinho Verde,3.9,5923.0,Broadbent Branco,https://www.vivino.com/US-NY/en/wines/1469272,popular_wine
15,Bonny Doon Vin Gris,https://shop.heinzcatering.berkeleybowl.com/product/76943410421,15.39,,Bonny Doon Vin Gris,3.7,3077.0,Bonny Doon Vin Gris de Cigare,https://www.vivino.com/US-NY/en/wines/3630089,popular_wine
16,Montelliana Prosecco,https://shop.heinzcatering.berkeleybowl.com/product/87228100019,10.99,,Montelliana Prosecco,3.8,2071.0,Montelliana Prosecco Treviso Extra Dry,https://www.vivino.com/US-NY/en/wines/1411617,popular_wine
17,Ayres Pinot Noir,https://shop.heinzcatering.berkeleybowl.com/product/86019700130,26.39,,Ayres Pinot Noir,3.9,1220.0,Ayres Pinot Noir,https://www.vivino.com/US-NY/en/wines/4271358,us_reds
18,Dunham Cellars 2004 Three Legged Red Wine,https://shop.heinzcatering.berkeleybowl.com/product/83306700702,25.29,,Dunham Three Legged Red,3.8,1844.0,Dunham Cellars Three Legged Red,https://www.vivino.com/US-NY/en/wines/3290411,us_reds
19,Decoy Zinfandel 2017,https://shop.heinzcatering.berkeleybowl.com/product/66957601923,23.09,,Decoy Zinfandel,3.9,9232.0,Decoy Sonoma County Zinfandel,https://www.vivino.com/US-NY/en/wines/1577445,us_reds
20,Field Recordings Fiction Red,https://shop.heinzcatering.berkeleybowl.com/product/79966580985,16.49,,Field Recordings Fiction Red,4.0,4239.0,Field Recordings Fiction Red,https://www.vivino.com/US-NY/en/wines/1864919,us_reds
21,Decoy Merlot Sonoma County 2018,https://shop.heinzcatering.berkeleybowl.com/product/66957601925,23.09,,Decoy Merlot Sonoma County,3.9,15457.0,Decoy Sonoma County Merlot,https://www.vivino.com/US-NY/en/wines/3948614,us_reds
22,Line 39 Excursion Red Blend,https://shop.heinzcatering.berkeleybowl.com/product/89875600157,9.89,,Line 39 Excursion Red Blend,3.7,1617.0,Line 39 Excursion Red Blend,https://www.vivino.com/US-NY/en/wines/154375053,us_reds
23,Joel Gott No. 815 Cabernet Sauvignon,https://shop.heinzcatering.berkeleybowl.com/product/18898500013,17.59,,Joel Gott No. 815 Cabernet Sauvignon,3.9,61181.0,Joel Gott Cabernet Sauvignon (815),https://www.vivino.com/US-NY/en/wines/1663305,us_reds
24,Angeline Pinot Noir,https://shop.heinzcatering.berkeleybowl.com/product/72972270012,10.99,,Angeline Pinot Noir,3.6,13941.0,Angeline Pinot Noir,https://www.vivino.com/US-NY/en/wines/2802945,us_reds
25,Owen Roe Syrah Ex Umbris 2018,https://shop.heinzcatering.berkeleybowl.com/product/85574100200,26.39,,Owen Roe Syrah Ex Umbris,4.0,3094.0,Owen Roe Ex Umbris Syrah,https://www.vivino.com/US-NY/en/wines/2045916,us_reds
26,Bliss Pinot Noir Wine,https://shop.heinzcatering.berkeleybowl.com/product/1248588002,16.49,,Bliss Pinot Noir,3.7,1052.0,Bliss Pinot Noir,https://www.vivino.com/US-NY/en/wines/4696192,us_reds
