,title,price,url,search_name,vintage,vivino_score,num_reviews,vivino_name,vivino_link,wine_type
0,Alamos Malbec,14.5,https://www.bestbuywinewarehouse.com/collections/all/products/alamos-malbec,Alamos Malbec,,3.7,133448.0,Alamos Malbec,https://www.vivino.com/US-NY/en/wines/1469238,red-wine
1,Alfa Crux Malbec,32.5,https://www.bestbuywinewarehouse.com/collections/all/products/alfa-crux,Alfa Crux Malbec,,4.2,2777.0,O. Fournier Alfa Crux Malbec,https://www.vivino.com/US-NY/en/wines/2076248,red-wine
2,Allegrini Valpolicella,17.95,https://www.bestbuywinewarehouse.com/collections/all/products/allegrini-valpolicella,Allegrini Valpolicella,,3.7,11234.0,Allegrini Valpolicella,https://www.vivino.com/US-NY/en/wines/1469041,red-wine
3,Amarone Della Valapolicella Classico,36.0,https://www.bestbuywinewarehouse.com/collections/all/products/copy-of-montepulciano-d-abruzzo,Amarone Della Valapolicella Classico,,4.3,85457.0,Masi Costasera Amarone della Valpolicella Classico,https://www.vivino.com/US-NY/en/wines/1469025,red-wine
4,Amity Pinot Noir,25.95,https://www.bestbuywinewarehouse.com/collections/all/products/amity-pinot-noir,Amity Pinot Noir,,4.0,1766.0,Amity Pinot Noir,https://www.vivino.com/US-NY/en/wines/3744972,red-wine
5,Andes Plateau 700,45.0,https://www.bestbuywinewarehouse.com/collections/all/products/andes-plateau-700,Andes Plateau 700,,4.1,3120.0,Andes Plateau 700 High Altitude Red Blend,https://www.vivino.com/US-NY/en/wines/8587740,red-wine
6,Arnoux & Fils Vacqueyras,20.95,https://www.bestbuywinewarehouse.com/collections/all/products/arnoux-fils-vacqueyras,Arnoux & Fils Vacqueyras,,3.7,377.0,Arnoux & Fils Vacqueyras,https://www.vivino.com/US-NY/en/wines/1530793,red-wine
7,Asconi Pastoral,14.95,https://www.bestbuywinewarehouse.com/collections/all/products/copy-of-riesling-kabinett,Asconi Pastoral,,3.9,31.0,Asconi Collection Asconi Pastoral,https://www.vivino.com/US-NY/en/wines/2457633,red-wine
8,Auguste Rose,19.95,https://www.bestbuywinewarehouse.com/collections/all/products/auguste-rose,Auguste Rose,,4.1,62.0,Château Lafoux Cuvée Auguste Rosé,https://www.vivino.com/US-NY/en/wines/156902982,red-wine
9,Bandit Merlot,9.95,https://www.bestbuywinewarehouse.com/collections/all/products/copy-of-black-box-malbec,Bandit Merlot,,3.3,34.0,Bandit Merlot,https://www.vivino.com/US-NY/en/wines/1704288,red-wine
10,Banfi Chianti Classico,16.5,https://www.bestbuywinewarehouse.com/collections/all/products/banfi-chianti-classico,Banfi Chianti Classico,,3.7,17053.0,Banfi Chianti Classico Riserva,https://www.vivino.com/US-NY/en/wines/1528959,red-wine
11,Banfi Chianti Superlore,16.5,https://www.bestbuywinewarehouse.com/collections/all/products/banfi-chianti-superlore,Banfi Chianti Superlore,,3.6,6284.0,Banfi Chianti Superiore,https://www.vivino.com/US-NY/en/wines/2045757,red-wine
