,title,url,price,vintage,search_name,vivino_score,num_reviews,vivino_name,vivino_link
0,Fonseca Port Late Bottled Vintage 2014,https://shop.heinzcatering.berkeleybowl.com/product/8469231074,26.39,,Fonseca Port Late Bottled Vintage,4.2,37.0,Fonseca Late Bottled Vintage Port,https://www.vivino.com/US-NY/en/wines/160310782
1,Warre's Otima 10 Year Old Port,https://shop.heinzcatering.berkeleybowl.com/product/8941900316,27.49,,Warre's Otima 10 Year Old Port,4.0,6210.0,Warre's Otima 10 Year Old Tawny Port,https://www.vivino.com/US-NY/en/wines/1497541
2,Lillet Aperitif Blanc,https://shop.heinzcatering.berkeleybowl.com/product/8366486628,24.79,,Lillet Aperitif Blanc,4.1,1016.0,Lillet Blanc,https://www.vivino.com/US-NY/en/wines/164942789
3,Lillet Apertif Rose,https://shop.heinzcatering.berkeleybowl.com/product/8366487258,24.79,,Lillet Apertif Rose,3.9,1907.0,Lillet Rosé,https://www.vivino.com/US-NY/en/wines/1590767
4,Carpano Antica Vermouth 375 Ml,https://shop.heinzcatering.berkeleybowl.com/product/89856300250,21.99,,Carpano Antica Vermouth 375 Ml,4.5,2304.0,Carpano Antica Formula Vermouth,https://www.vivino.com/US-NY/en/wines/1615942
5,G.D. Vajra Langhe Nebbiolo 2018,https://shop.heinzcatering.berkeleybowl.com/product/69579811212,30.79,,G.D. Vajra Langhe Nebbiolo,3.9,12481.0,G.D. Vajra Langhe Nebbiolo,https://www.vivino.com/US-NY/en/wines/1624942
6,Vya Sweet Vermouth,https://shop.heinzcatering.berkeleybowl.com/product/1302200022,24.19,,Vya Sweet Vermouth,,,Quady Vya Vermouth Sweet,https://www.vivino.com/US-NY/en/wines/166941472
7,Carpano Antica Formula 1 Liter,https://shop.heinzcatering.berkeleybowl.com/product/8410534100,48.39,,Carpano Antica Formula 1 Liter,4.5,2304.0,Carpano Antica Formula Vermouth,https://www.vivino.com/US-NY/en/wines/1615942
8,Hartley & Gibson Amontillado Medium Sherry,https://shop.heinzcatering.berkeleybowl.com/product/8722400210,15.39,,Hartley & Gibson Amontillado Medium Sherry,3.3,101.0,Hartley & Gibson's Amontillado Sherry,https://www.vivino.com/US-NY/en/wines/1517252
9,Hartley & Gibson Sherry Fino Very Dry Sherry,https://shop.heinzcatering.berkeleybowl.com/product/8722400220,19.79,,Hartley & Gibson Sherry Fino Very Dry Sherry,2.8,101.0,Hartley & Gibson's Very Dry Fino Sherry,https://www.vivino.com/US-NY/en/wines/2897164
