,title,price,url,search_name,vintage,vivino_score,num_reviews,vivino_name,vivino_link,wine_type,error_flag,country,region,winery_region,vintage_score,vintage_num_reviews,style,alcohol_perc,vivino_price
0,"Argentina Santa Julia, 'El Burro' Malbec Natural 2021",17.99,https://www.navywine.com/santa-julia-el-burro-malbec-natural-2021.html,"Argentina Santa Julia, 'El Burro' Malbec Natural",2021.0,3.5,683.0,Santa Julia El Burro Malbec Natural,https://www.vivino.com/US-NY/en/wines/166102211,red,True,Argentina,Maipu,Mendoza,3.5,500.0,Malbec,13.5,18.5
1,"Italy Poggio delle Baccanti, Aglianico 2021",15.99,https://www.navywine.com/poggio-delle-baccanti-aglianico-2021.html,"Italy Poggio delle Baccanti, Aglianico",2021.0,,,Rossella Cicalese Poggio delle Noci Aglianico,https://www.vivino.com/US-NY/en/wines/169691341,red,True,Italy,Campania,Campania,,,Red,,
2,"Italy Orsi, Posca Rosso (NV)",21.99,https://www.navywine.com/orsi-posca-rosso-nv.html,"Italy Orsi, Posca Rosso",,3.0,33.0,Taste Of Italy Classico Rosso,https://www.vivino.com/US-NY/en/wines/17265724,red,True,Italy,Basilicata,Basilicata,,,Red,,
3,"United States Anthill Farms, ‘Sonoma Coast’ Pinot Noir 2020",38.99,https://www.navywine.com/anthill-farms-sonoma-coast-pinot-noir-2020.html,"United States Anthill Farms, ‘Sonoma Coast’ Pinot Noir",2020.0,4.2,2394.0,Anthill Farms Sonoma Coast Pinot Noir,https://www.vivino.com/US-NY/en/wines/3288211,red,True,United States,Sonoma Coast,Sonoma Coast,4.3,10.0,Pinot Noir,,39.99
4,"France Elisa Guerin, Beaujolais Villages 2020",26.99,https://www.navywine.com/elisa-guerin-beaujolais-villages-2020.html,"France Elisa Guerin, Beaujolais Villages",2020.0,4.2,105.0,Elisa Guerin Beaujolais-Villages,https://www.vivino.com/US-NY/en/wines/165978273,red,True,France,Beaujolais-Villages,Moulin-à-Vent,4.2,59.0,Red,13.0,
5,"France Bonnet Cotton, Regnie 'Les Buillats' 1.5L MAGNUM 2020",82.99,https://www.navywine.com/bonnet-cotton-regnie-les-buillats-15l-magnum-2020.html,"France Bonnet Cotton, Regnie 'Les Buillats' 1.5L MAGNUM",2020.0,4.0,154.0,Le Secret des Amants Chapitre 1 - Les Amants Naissants Syrah,https://www.vivino.com/US-NY/en/wines/157920498,red,True,France,Vin de France,Vin de France,4.0,38.0,,,
6,"France La Bascule, ‘Gloriette’ Syrah 2020",25.99,https://www.navywine.com/la-bascule-gloriette-2020.html,"France La Bascule, ‘Gloriette’ Syrah",2020.0,3.6,475.0,Les Celliers des Terres de France La Grande Collection Syrah - Grenache,https://www.vivino.com/US-NY/en/wines/163894370,red,True,France,Côtes du Roussillon,Southern Rhône,3.8,46.0,Red,,
7,"France Les Vignes Herbel, Oser 2020 - 500ml",18.99,https://www.navywine.com/les-vignes-herbel-oser-2020-500ml.html,"France Les Vignes Herbel, Oser - 500ml",2020.0,,,Les Vignes De France Lussac Château La Tourbeille Bordeaux,https://www.vivino.com/US-NY/en/wines/167703375,red,True,France,Bordeaux,,,,Red,,
8,"France Julien Altaber, Bourgogne Rouge 2020",38.99,https://www.navywine.com/julien-altaber-bourgogne-rouge-2020.html,"France Julien Altaber, Bourgogne Rouge",2020.0,3.9,689.0,Sextant - Julien Altaber Bourgogne Chardonnay,https://www.vivino.com/US-NY/en/wines/13876351,red,True,France,Bourgogne,Bourgogne,4.0,14.0,White,,
9,"United States Fossil & Fawn, 'Do Nothing' Red 2021",27.99,https://www.navywine.com/fossil-fawn-do-nothing-red-2021.html,"United States Fossil & Fawn, 'Do Nothing' Red",2021.0,4.0,352.0,Fossil & Fawn Do Nothing Red,https://www.vivino.com/US-NY/en/wines/152079801,red,True,United States,Oregon,Oregon,4.0,40.0,,13.5,31.2
10,"France Anthony Thevenet, Morgon 'Vielles Vignes' 2019",33.99,https://www.navywine.com/anthony-thevenet-morgon-vielles-vignes-2019.html,"France Anthony Thevenet, Morgon 'Vielles Vignes'",2019.0,3.9,21.0,Anthony Thevenet Chénas Vielles Vignes,https://www.vivino.com/US-NY/en/wines/157321203,red,True,France,Chénas,Morgon,,,Red,,
11,"France Alexis Hudon, 'Groseille' 2020",23.99,https://www.navywine.com/alexis-hudon-groseille-2020.html,"France Alexis Hudon, 'Groseille'",2020.0,4.2,303.0,Alexis Hudon Groseille,https://www.vivino.com/US-NY/en/wines/153292870,red,True,France,Vin de France,Vin de France,4.0,57.0,,,29.99
12,"France Jeremy Quastana, 'Cuvee Bleu' Gamay  2020",25.99,https://www.navywine.com/jeremy-quastana-cuvee-bleu-gamay-2020.html,"France Jeremy Quastana, 'Cuvee Bleu' Gamay",2020.0,3.6,45.0,Cuvée Bleu Vin de France Rouge,https://www.vivino.com/US-NY/en/wines/169856490,red,True,France,Vin de France,,3.6,10.0,,,
