,title,price,url,vintage,search_name,vivino_score,num_reviews,vivino_name,vivino_link,wine_type,country,region,winery_region,vintage_score,vintage_num_reviews,style,alcohol_perc,vivino_price
0,Non-Alcoholic Leitz Ein Zwei Zero Sparkling Riesling  CAN Single 250 ml,6.98,https://www.noevalleywineandspirits.com/non-alcoholic-leitz-ein-zwei-zero-sparkling-can-si.html,,Non-Alcoholic Leitz Ein Zwei Zero Sparkling Riesling CAN Single 250 ml,3.5,106.0,Leitz Eins Zwei Zero Sparkling Riesling,https://www.vivino.com/US-CA/en/wines/162971596,all,Germany,Rheingau,Rheingau,,,,0.01,5.99
1,Avinyo Petillant Blanco  CANS SINGLE 250 ml,8.98,https://www.noevalleywineandspirits.com/avinyo-petillant-blanco-cans-single-250-ml.html,,Avinyo Petillant Blanco CANS SINGLE 250 ml,4.2,2423.0,Avinyó Petillant Blanc (Vi d'Agulla),https://www.vivino.com/US-CA/en/wines/2168043,all,Spain,Catalunya,Cava,,,Sparkling,10.5,21.99
2,Ferdinand Albarino Cans SINGLE 12 oz,9.98,https://www.noevalleywineandspirits.com/2016-ferdinand-albarino-cans-4-pack-12-oz-single.html,,Ferdinand Albarino Cans SINGLE 12 oz,3.9,637.0,Ferdinand Albariño,https://www.vivino.com/US-CA/en/wines/4927251,all,United States,Borden Ranch,Amador County,,,,13.2,
3,2018 Scribe Una Lou Rose CAN 12 oz SINGLE,9.98,https://www.noevalleywineandspirits.com/2017-scribe-una-lou-rose-can-4-pack-12-oz-single.html,2018.0,2018 Scribe Una Lou Rose CAN 12 oz SINGLE,3.9,362.0,Una Lou Rosé,https://www.vivino.com/US-CA/en/wines/154970417,all,United States,California,California,3.4,29.0,Rosé,,
4,2018 Clua El Sola d'en Pol Terra Alta 750 ml,10.98,https://www.noevalleywineandspirits.com/2018-clua-el-sola-den-pol-terra-alta-750-ml.html,2018.0,2018 Clua El Sola d'en Pol Terra Alta 750 ml,3.5,453.0,Celler Xavier Clua El Solà d'en Pol,https://www.vivino.com/US-CA/en/wines/1565259,all,Spain,Terra Alta,Terra Alta,3.7,79.0,Grenache,,
5,2020 Moulin de Gassac Guilhem Rosé Pays d'Herault  750 ml,10.98,https://www.noevalleywineandspirits.com/2017-moulin-de-gassac-guilhem-rose-pays-dherault-7.html,2020.0,2020 Moulin de Gassac Guilhem Rosé Pays d'Herault 750 ml,3.7,1034.0,Moulin de Gassac Guilhem Rosé,https://www.vivino.com/US-CA/en/wines/4681919,all,France,Hérault,Languedoc,3.8,81.0,Rosé,12.0,14.99
6,2021 Arca Nova Vinho Verde 750 ml,11.98,https://www.noevalleywineandspirits.com/arca-nova-vinho-verde-750-ml.html,2021.0,2021 Arca Nova Vinho Verde 750 ml,3.8,4749.0,Arca Nova Vinho Verde Branco,https://www.vivino.com/US-CA/en/wines/1576914,all,Portugal,Vinho Verde,Vinho Verde,4.0,202.0,Vinho Verde White,10.5,12.99
7,NV Miquel Pons Cava Brut Penedes  750 ml,12.98,https://www.noevalleywineandspirits.com/nv-miquel-pons-cava-brut-penedes-750-ml.html,,NV Miquel Pons Cava Brut Penedes 750 ml,3.6,142.0,Miquel Pons Cava Brut,https://www.vivino.com/US-CA/en/wines/5713827,all,Spain,Cava,Catalunya,,,Cava,,13.99
8,2018 Rocca di Montegrossi Chianti Classico  375 ml,13.98,https://www.noevalleywineandspirits.com/2018-rocca-di-montegrossi-chianti-classico-375-ml.html,2018.0,2018 Rocca di Montegrossi Chianti Classico 375 ml,3.8,4177.0,Rocca di Montegrossi Chianti Classico,https://www.vivino.com/US-CA/en/wines/2606359,all,Italy,Chianti Classico,Toscana,3.9,453.0,Chianti,13.67,26.99
9,2020 Vendrell Rived Sere Montsant 750 ml,13.98,https://www.noevalleywineandspirits.com/2019-vendrell-rived-sere-montsant-750-ml.html,2020.0,2020 Vendrell Rived Sere Montsant 750 ml,3.7,1243.0,Vendrell Rived Serè,https://www.vivino.com/US-CA/en/wines/9981174,all,Spain,Montsant,Montsant,3.7,32.0,Montsant Red,14.5,
10,Scarpetta Frizzante Frico  4 pack 187 ml,13.98,https://www.noevalleywineandspirits.com/scarpetta-frizzante-frico-4-pack-187-ml.html,,Scarpetta Frizzante Frico 4 pack 187 ml,3.5,119.0,Scarpetta Frico Frizzante,https://www.vivino.com/US-CA/en/wines/152877112,all,Italy,Veneto,Monferrato,,,,,
11,2020 Domaine de la Charmoise Touraine Blanc 375 ml,14.98,https://www.noevalleywineandspirits.com/2020-domaine-de-la-charmoise-touraine-blanc-375-ml.html,2020.0,2020 Domaine de la Charmoise Touraine Blanc 375 ml,4.1,59.0,Jacky Marteau Domaine de la Bergerie Touraine Sauvignon Blanc,https://www.vivino.com/US-CA/en/wines/4770159,all,France,Touraine,Touraine,0.0,8.0,,14.0,
12,2021 Marine & Paul Charavin Zou Zou Rose Cotes-du-Rhone 750 ml,14.98,https://www.noevalleywineandspirits.com/2021-marine-paul-charavin-zou-zou-rose-cotes-du-rh.html,2021.0,2021 Marine & Paul Charavin Zou Zou Rose Cotes-du-Rhone 750 ml,3.8,186.0,Domaine des Coteaux des Travers Zouzou,https://www.vivino.com/US-CA/en/wines/161179692,all,France,Côtes-du-Rhône,Southern Rhône,0.0,9.0,Red,12.5,
13,Ostinato Fine Ambra Dolce Marsala 500 ml,14.98,https://www.noevalleywineandspirits.com/ostinato-fine-ambra-dolce-marsala-500-ml.html,,Ostinato Fine Ambra Dolce Marsala 500 ml,,,Ostinato Marsala Fine Ambra Dolce,https://www.vivino.com/US-CA/en/wines/169969880,all,Italy,Marsala,Marsala,,,,17.0,
